NAME,LINK,PRICE,QUANTITY,Need To buy?
Xiao RP2040,https://www.aliexpress.com/item/1005004459618789.html?spm=a2g0o.productlist.main.4.4b94379czxRAFs&aem_p4p_detail=2026042207193712469510348942640000261482&algo_pvid=c1889bff-dd35-4d84-9ae9-93b5fb0af45f&pdp_ext_f=%7B%22order%22%3A%221159%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004459618789%7C_p_origin_prod%3A&search_p4p_id=2026042207193712469510348942640000261482_1,"$6,16",1,Yes
Cherry Mx Switch,https://www.aliexpress.com/item/1005008586371182.html?spm=a2g0o.productlist.main.5.1ec2tPXFtPXFrn&algo_pvid=3f7b64de-8767-4574-abf2-40f9073028dd&pdp_ext_f=%7B%22order%22%3A%22130%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008586371182%7C_p_origin_prod%3A,"$12,54",6,No
Cherry Mx Keycaps,https://www.aliexpress.com/item/1005002906017844.html?spm=a2g0o.productlist.main.2.7587d75duLmAxW&algo_pvid=7f1486d7-8f33-438b-a090-75c0d12eb0bc&pdp_ext_f=%7B%22order%22%3A%22578%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002906017844%7C_p_origin_prod%3A,"$6,00",6,No
3D Case,Printing Legion,"$5,00",1,Yes
PCB,JLCPCB,"$5,00",1,Yes
TOTAL:,,"$34,70",,
